# df_oferta
nombre_J	ubicacionesJ_x	ubicacionesJ_y	Ciudad
j01	7.127802	-73.113901	68001 - Bucaramanga
j02	7.109973	-73.111052	68077 - Barbosa
j03	7.117921	-73.109616	68079 - Barichara
j04	7.125935	-73.118072	68081 - Barrancabermeja
j05	7.126154	-73.118347	68190 - Cimitarra
j06	7.10974	-73.11514	68211 - Contratación
j07	7.058275	-73.856854	68271 - Florián
j08	7.062164	-73.859575	68276 - Floridablanca
j09	7.059985	-73.857999	68307 - Girón
j10	6.290291	-73.142879	68397 - La Paz
j11	6.311896	-73.948743	68406 - Lebríja
j12	5.802691	-73.972181	68432 - Málaga
j13	7.073173	-73.109957	68464 - Mogotes
j14	7.069905	-73.114734	68498 - Ocamonte
j15	6.310327	-73.320666	68500 - Oiba
j16	7.114187	-73.216058	68547 - Piedecuesta
j17	7.035927	-73.068401	68573 - Puerto Parra
j18	7.266853	-73.150845	68575 - Puerto Wilches
j19	7.395409	-73.4916	68615 - Rionegro
j20	6.552608	-73.134732	68655 - Sabana De Torres
j21	6.881183	-73.409349	68679 - San Gil
j22	6.015634	-73.67392	68689 - San Vicente De Chucurí
j23	6.816262	-73.262951	68755 - Socorro
j24	6.10403	-73.43983	68770 - Suaita
j25	6.01219	-73.67226	68861 - Vélez
j26	6.8139	-73.2685	68895 - Zapatoca


# df_capac
nombre_J	servicio_K	s_jk	Tiene_servicio	s_jk_original	sigma_jk	c_jk	s_jk*c_jk	nombre_Jservicio_K	Servicio	Ciudad
j01	k01	120	1	12	120	10	1200	j01k01	Consulta general diagnóstico	68001 - Bucaramanga
j01	k02	100	1	10	100	10	1000	j01k02	Mamografía y ecografía	68001 - Bucaramanga
j01	k03	500	1	50	500	4	2000	j01k03	Consulta especializada	68001 - Bucaramanga
j01	k04	100	1	10	100	4	400	j01k04	Biopsia diagnóstico	68001 - Bucaramanga
j01	k05	200	1	20	200	4	800	j01k05	Patología diagnóstico	68001 - Bucaramanga
j01	k06	150	1	10	150	10	1500	j01k06	Quimioterapia	68001 - Bucaramanga
j01	k07	150	1	10	150	10	1500	j01k07	Radioterapia	68001 - Bucaramanga
j01	k08	100	1	10	100	10	1000	j01k08	Hormonal	68001 - Bucaramanga
j01	k09	150	1	10	150	6	900	j01k09	Cirugía	68001 - Bucaramanga
j01	k10	100	1	10	100	10	1000	j01k10	Cuidados paliativos	68001 - Bucaramanga
j02	k01	30	1	3	30	10	300	j02k01	Consulta general diagnóstico	68077 - Barbosa
j02	k02	30	1	0	30	10	300	j02k02	Mamografía y ecografía	68077 - Barbosa
j02	k03	0	0	0	0	4	0	j02k03	Consulta especializada	68077 - Barbosa
j02	k04	0	0	0	0	4	0	j02k04	Biopsia diagnóstico	68077 - Barbosa
j02	k05	0	0	0	0	4	0	j02k05	Patología diagnóstico	68077 - Barbosa
j02	k06	0	0	0	0	10	0	j02k06	Quimioterapia	68077 - Barbosa
j02	k07	0	0	0	0	10	0	j02k07	Radioterapia	68077 - Barbosa
j02	k08	0	0	0	0	10	0	j02k08	Hormonal	68077 - Barbosa
j02	k09	0	0	0	0	0	0	j02k09	Cirugía	68077 - Barbosa
j02	k10	0	0	0	0	10	0	j02k10	Cuidados paliativos	68077 - Barbosa
j03	k01	30	1	3	30	10	300	j03k01	Consulta general diagnóstico	68079 - Barichara
j03	k02	0	0	0	0	10	0	j03k02	Mamografía y ecografía	68079 - Barichara
j03	k03	0	0	0	0	4	0	j03k03	Consulta especializada	68079 - Barichara
j03	k04	0	0	0	0	4	0	j03k04	Biopsia diagnóstico	68079 - Barichara
j03	k05	0	0	0	0	4	0	j03k05	Patología diagnóstico	68079 - Barichara
j03	k06	0	0	0	0	10	0	j03k06	Quimioterapia	68079 - Barichara
j03	k07	0	0	0	0	10	0	j03k07	Radioterapia	68079 - Barichara
