# df_oferta
nombre_J	ubicacionesJ_x	ubicacionesJ_y
j01	10	10
j02	12	12
j03	8	12
j04	10	8
j05	11	14
j06	14	12
j07	6	14
j08	6	12
j09	8	6
j10	12	6
j11	6	6
j12	6	4
j13	14	6
j14	14	4
j15	14	10
j16	6	8


# df_capac
nombre_J	servicio_K	s_jk	s_jk_10	s_jk_5	sigma_jk	c_jk	s_jk*c_jk	nombre_Jservicio_K
j01	k01	80	80	80	80	1	80	j01k01
j01	k02	40	40	40	40	1	40	j01k02
j01	k03	50	50	50	50	1	50	j01k03
j01	k04	80	80	80	80	1	80	j01k04
j01	k05	80	80	80	80	1	80	j01k05
j01	k06	120	80	120	60	1	120	j01k06
j01	k07	100	120	100	60	1	100	j01k07
j01	k08	140	120	140	0	1	140	j01k08
j01	k09	160	80	160	0	1	160	j01k09
j01	k10	100	80	100	0	1	100	j01k10
j02	k01	40	40	40	40	1	40	j02k01
j02	k02	60	60	60	60	1	60	j02k02
j02	k03	50	50	50	50	1	50	j02k03
j02	k04	80	80	80	80	1	80	j02k04
j02	k05	80	80	80	80	1	80	j02k05
j02	k06	80	0	80	79	1	80	j02k06
j02	k07	0	0	0	-1	1	0	j02k07
j02	k08	60	60	60	0	1	60	j02k08
j02	k09	80	40	80	0	1	80	j02k09
j02	k10	0	0	0	0	1	0	j02k10
j03	k01	80	80	80	80	1	80	j03k01
j03	k02	40	40	40	40	1	40	j03k02
j03	k03	60	60	60	60	1	60	j03k03
j03	k04	60	60	60	60	1	60	j03k04
j03	k05	40	40	40	40	1	40	j03k05
j03	k06	80	80	80	79	1	80	j03k06
j03	k07	80	0	80	79	1	80	j03k07
j03	k08	0	0	0	0	1	0	j03k08
j03	k09	0	0	0	0	1	0	j03k09
j03	k10	100	60	100	0	1	100	j03k10
j04	k01	80	80	80	12	1	80	j04k01
j04	k02	40	40	40	0	1	40	j04k02
j04	k03	60	60	60	0	1	60	j04k03
j04	k04	60	60	60	0	1	60	j04k04
j04	k05	40	40	40	0	1	40	j04k05
j04	k06	0	0	0	0	1	0	j04k06
j04	k07	80	100	80	0	1	80	j04k07
j04	k08	80	80	80	0	1	80	j04k08
j04	k09	0	0	0	0	1	0	j04k09
j04	k10	0	0	0	0	1	0	j04k10
j05	k01	15	15	15	12	1	15	j05k01
j05	k02	40	15	40	0	1	40	j05k02
j05	k03	0	0	0	0	1	0	j05k03
j05	k04	0	0	0	0	1	0	j05k04
j05	k05	0	0	0	0	1	0	j05k05
